GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2,,1,0.83,2,170.5,77,28.5,8742.25,20164,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,590,1,51,2,137,1,61,0,36,,0.989932886,0.980769231,62,81,164,237,6889,24336,5329
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,430,86,12,6,73,18,66,6,57,6,,0.166666667,0.333333333,72,4,7.5,239.5,12.25,55460.25,53824
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,,1,0.83,5,168,75.5,95,8556.25,5329,380.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,80,1405,17,111,10,346,15,155,0,105,,0.946127946,0.8671875,170,53,125,246,5184,37249,14641
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4,,1,0.83,4,166.5,75,75,8372.25,8372.25,0
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11,,0.957746479,1,15,59,203.5,169.5,20880.25,12210.25,1156
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,,0.9972106,0.957142857,71,84,154,235,4900,22801,6561
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2,,1,0.83,2,164,74.5,28,8010.25,18496,2162.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6,,1,1,7,163.5,201,118.5,1406.25,2025,6806.25
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,706,2,10,3,127,4,100,2,96,,0.96978022,0.833333333,104,64,119.5,237.5,3080.25,30102.25,13924
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,35,469,9,55,7,130,9,50,0,27,,0.930555556,0.859375,59,47,121,229,5476,33124,11664
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,196,1,11,0,51,1,19,0,14,,1,0.916666667,20,161,132,190.5,841,870.25,3422.25
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,8,14,1,4,1,4,,0.7625,0.83,5,27,74,92.5,2209,4290.25,342.25
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,99,0,6,0,26,0,14,0,11,,1,1,14,159.5,196.5,160.5,1369,1,1296
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,56,49,0,0,23,16,3,5,3,5,,0.466666667,0.83,8,12,73.5,123.5,3782.25,12432.25,2500
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2,,0.722222222,0.83,3,24,73,54.5,2401,930.25,342.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,157,72.5,27.5,7140.25,16770.25,2025
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,,0.892857143,0.8125,13,37,29,150,64,12769,14641
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3,,0.606060606,0.83,4,16,71,71.5,3025,3080.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,79,1,5,2,21,2,7,1,5,,0.951807229,0.833333333,9,48,113,127.5,4225,6320.25,210.25
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8,,0.950980392,0.875,12,47,117.5,142,4970.25,9025,600.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,36,214,0,18,12,62,6,30,6,21,,0.856,1,36,32,189,202.5,24649,29070.25,182.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,13,0,6,0,6,,1,0.83,6,151.5,70.5,103.5,6561,2304,1089
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,6,141,0,10,2,38,0,19,0,14,,0.959183673,1,19,51,187.5,176,18632.25,15625,132.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6,,0.994475138,0.888888889,15,69,118,157,2401,7744,1521
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,4,554,1,31,1,138,1,48,0,33,,0.992831541,0.96875,49,68,141,209.5,5329,20022.25,4692.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14,,0.820895522,0.928571429,30,29,126,194,9409,27225,4624
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,886,1,99,7,235,1,86,0,37,,0.965141612,0.99,87,52,144,218,8464,27556,5476
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,11,559,4,68,5,147,4,57,0,25,,0.980701754,0.944444444,61,60,132,213.5,5184,23562.25,6642.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3,,1,1,4,145,182,71,1369,5476,12321
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,6,0,5,0,3,,1,1,5,144.5,181.5,88,1369,3192.25,8742.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,2,0,2,0,2,,1,0.83,2,144,70,27,5476,13689,1849
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration.ConfigData,0,160,0,8,0,43,0,14,0,10,,1,1,14,143.5,180,149,1332.25,30.25,961
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,6,0,4,0,4,,1,0.83,4,143,69.5,69.5,5402.25,5402.25,0
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,18,365,4,34,5,105,7,31,3,16,,0.953002611,0.894736842,38,47,116,195,4761,21904,6241
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,0,3,0,2,0,2,,1,0.83,2,141.5,69,26.5,5256.25,13225,1806.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,28,174,4,10,7,44,3,17,0,13,,0.861386139,0.714285714,20,32,19,172,169,19600,23409
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,1,1,1,1,1,,0.428571429,0.83,2,10.5,67.5,26,3249,240.25,1722.25
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5,,1,1,6,139,174.5,97,1260.25,1764,6006.25
