GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),"D*2(Q,S)",D*2(R&S)
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,1,1,22,120,149.5,151,870.25,961,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,0.952282158,0.982758621,46,36,115,168.5,6241,17556.25,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,0.971223022,0.916666667,24,41,99,152,3364,12321,2809
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,1,0.875,20,117.5,94,147.5,552.25,900,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,0.971014493,0.75,16,40,18.5,133.5,462.25,8742.25,13225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,0,4,0,2,0,2,1,0.83,2,116,57.5,22.5,3422.25,8742.25,1225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,13,219,1,15,2,59,1,20,0,13,0.943965517,0.9375,21,35,101.5,146,4422.25,12321,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,8,0,4,0,4,1,0.83,4,114.5,57,58,3306.25,3192.25,1
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,0.988764045,0.928571429,13,47,97.5,117.5,2550.25,4970.25,400
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,23,2,15,2,8,0.956043956,1,17,36,141,133.5,11025,9506.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,957,10,66,4,237,10,70,0,42,0.974541752,0.868421053,80,39,89,169,2500,16900,6400
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,1,1,12,111,139.5,112.5,812.25,2.25,729
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,0.926829268,1,9,31,139,100.5,11664,4830.25,1482.25
