GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Coverage,rank.o,rank.p,rank.q,D*2 R&S,D*2 R&T,D*2 S&T
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,111.5,57.5,122,2916,110.25,4160.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.new EventListener() {...},0,27,0,0,0,6,0,2,0,2,,1,0.83,2,111,57,121,2916,100,4096
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,,0.974683544,1,35,41,138,169,9409,16384,961
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,417,2,30,1,105,2,35,0,21,,0.99522673,0.9375,37,47,97,145,2500,9604,2304
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,,0.983870968,0.75,6,44,19,54,625,100,1225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,,1,1,5,107.5,135.5,166,784,3422.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,,1,1,17,107,135,165,784,3364,900
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,0,10,0,3,0,2,,1,1,3,106.5,134.5,164,784,3306.25,870.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,106,55.5,119,2550.25,169,4032.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,,0.975806452,1,26,41,133,162,8464,14641,841
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,,1,0.975,39,104.5,101.5,145,9,1640.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,4,0,1,0,1,,1,0.83,1,104,55,118,2401,196,3969
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,,1,1,13,103.5,130.5,159,729,3080.25,812.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,3,0,3,,1,0.83,3,103,54.5,117,2352.25,196,3906.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,39,0,0,0,10,0,5,0,5,,1,0.83,5,102.5,54,116,2352.25,182.25,3844
