GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6,1,0.83,13,135.5,66,143.5,4830.25,64,6006.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,1,1,20,135,169.5,206,1190.25,5041,1332.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13,1,0.954545455,46,134.5,126.5,189,64,2970.25,3906.25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5,1,0.83,17,134,65.5,141.5,4692.25,56.25,5776
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,1,1,16,133.5,167,203,1122.25,4830.25,1296
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9,1,1,33,133,166.5,202,1122.25,4761,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,132.5,65,140,4556.25,56.25,5625
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18,1,1,67,132,165,200,1089,4624,1225
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,131.5,64.5,139,4489,56.25,5550.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5,1,0.83,7,131,64,137.5,4489,42.25,5402.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,1,1,44,130.5,162.5,197,1024,4422.25,1190.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,88,1027,20,128,14,187,21,76,1,22,0.921076233,0.864864865,208,33,100,165,4489,17424,4225
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1,1,0.83,1,129,63.5,135.5,4290.25,42.25,5184
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,0.963768116,0.954545455,28,44,120,175,5776,17161,3025
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,0.983673469,0.868421053,72,53,99.5,162.5,2162.25,11990.25,3969
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4,1,0.83,8,126.5,63,134,4032.25,56.25,5041
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2,0.5625,0.83,6,11,62.5,133,2652.25,14884,4970.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,16,0,0,0,8,0,4,0,4,1,0.83,8,125,62,131.5,3969,42.25,4830.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3,1,0.83,6,124.5,61.5,130,3969,30.25,4692.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,0.608695652,0.5,10,13,11.5,41,2.25,784,870.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,6,0,2,0,2,1,0.83,6,123,60,128,3969,25,4624
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,1,1,24,122.5,152,186,870.25,4032.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,1,1,50,122,151.5,185,870.25,3969,1122.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,0.952282158,0.982758621,115,38,117,165.5,6241,16256.25,2352.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,0.971223022,0.916666667,37,43,99,155,3136,12544,3136
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,1,0.875,26,119.5,95,149,600.25,870.25,2916
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,0.971014493,0.75,24,42,19.5,57,506.25,225,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,0,4,0,2,0,2,1,0.83,4,118,58.5,125.5,3540.25,56.25,4489
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,13,219,1,15,2,59,1,20,0,13,0.943965517,0.9375,60,37,102.5,154,4290.25,13689,2652.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,8,0,4,0,4,1,0.83,8,116.5,58,123.5,3422.25,49,4290.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,0.988764045,0.928571429,23,49,98.5,150,2450.25,10201,2652.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,23,2,15,2,8,0.956043956,1,25,38,143,176,11025,19044,1089
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,957,10,66,4,237,10,70,0,42,0.974541752,0.868421053,247,41,90,140,2401,9801,2500
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,1,1,23,113,141.5,174,812.25,3721,1056.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,0.926829268,1,17,32,141,173,11881,19881,1024
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,85,0,4,0,28,0,11,0,9,1,1,28,111.5,140.5,172,841,3660.25,992.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,0,13,0,6,0,6,1,0.83,13,111,57.5,122,2862.25,121,4160.25
